Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"DOMPERIDONA 10 MG","CAF",91.30,"0","0","","correto","1","1","","correto","2","2","","correto","3","3","","correto","5","5","","correto","12","12","","correto","4","4","","correto","19","19","","correto","90","90","","correto","0","0","","correto","30","30","","correto","60","60","","correto","90","90","","correto","90","90","","correto","75","75","","correto","75","75","","correto","90","90","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","26","26","","correto","270","270","","correto","270","0","270","incorreto","1350","1350","","correto",
"VALPROATO DE SÓDIO 50 MG/ML - XPE","CAF",91.30,"2","2","","correto","5","5","","correto","8","8","","correto","12","12","","correto","20","20","","correto","41","41","","correto","17","17","","correto","64","64","","correto","27","27","","correto","12","12","","correto","13","13","","correto","13","13","","correto","11","11","","correto","9","9","","correto","10","10","","correto","9","9","","correto","10","10","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","13","13","","correto","208","208","","correto","23","10","13","incorreto","715","715","","correto",
"ANESTESICO COLIRIO - OXINEST","CAF",95.65,"2","2","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","3","3","","correto","-6","0","-6","incorreto","3","3","","correto",
"NIMESULIDA GTS","CAF",91.30,"2","2","","correto","4","4","","correto","7","7","","correto","11","11","","correto","18","18","","correto","44","44","","correto","15","15","","correto","77","77","","correto","129","129","","correto","3","3","","correto","2","2","","correto","2","2","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","4","4","","correto","64","64","","correto","17","12","5","incorreto","769","769","","correto",
"NORETISTERONA 0,35MG CAIXA COM 35 CPR","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","35","35","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","35","35","","correto","35","35","","correto","35","35","","correto","35","35","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","35","35","","correto",
"LEITE NAN ESPESSAR- LATA 800 G","CAF",91.30,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","3","3","","correto","4","4","","correto","2","2","","correto","8","8","","correto","4","4","","correto","0","0","","correto","0","0","","correto","0","0","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","12","12","","correto","12","4","8","incorreto","24","24","","correto",
"ROCURÔNIO 50 MG/ 5 ML - IV","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto",
"LISDEXANFETAMINA, DIMESILATO DE 30MG - VENVANSE","CAF",91.30,"1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","3","3","","correto","4","4","","correto","3","3","","correto","5","5","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","45","45","","correto","60","60","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","4","4","","correto","180","180","","correto","180","150","30","incorreto","208","208","","correto",
"AMIODARONA, CLORIDRATO  200 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","420","420","","correto","205","205","","correto","205","205","","correto","240","240","","correto","240","240","","correto","240","240","","correto","240","240","","correto","240","240","","correto","240","240","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","240","240","","correto","3840","3840","","correto","3840","610","3230","incorreto","21900","21900","","correto",
"TOBRAMICINA 0,3 % COLIRIO - FRASCO 5 ML","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","15","15","","correto","25","25","","correto","51","51","","correto","21","21","","correto","85","85","","correto","10","10","","correto","6","6","","correto","4","4","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","6","6","","correto","96","96","","correto","28","21","7","incorreto","366","366","","correto",
"GUACO XAROPE - MIKANIA GLOMERATA 117,5MG/ML","CAF",91.30,"2","2","","correto","3","3","","correto","3","3","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","6","6","","correto","6","0","6","incorreto","5","5","","correto",
"SORO MANITOL 250ML","CAF",91.30,"4","4","","correto","6","6","","correto","8","8","","correto","11","11","","correto","15","15","","correto","18","18","","correto","14","14","","correto","18","18","","correto","6","6","","correto","3","3","","correto","4","4","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","18","18","","correto","18","16","2","incorreto","56","56","","correto",
"NORETISTERONA + ESTRADIOL 50 + 5 MG/ML  (MESIGYNA) INJETAVEL","CAF",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","23","23","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","11","11","","correto","176","176","","correto","-7","0","-7","incorreto","997","997","","correto",
"TALA METALICA","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","0","0","","correto","1","1","","correto","6","6","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","6","","correto","0","0","","correto","6","6","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","6","","correto",
"DECONGEX PLUS GOTAS","CAF",91.30,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","9","9","","correto","1","1","","correto","18","18","","correto","5","5","","correto","0","0","","correto","0","0","","correto","2","2","","correto","2","2","","correto","2","2","","correto","1","1","","correto","2","2","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","15","15","","correto","15","0","15","incorreto","32","32","","correto",
